"name","href","系统","剧情","人设","画面","音乐","声优","游戏性","工口","鬼畜","总体评分","对白"
"《The World of Rapest》","https://bangumi.tv/blog/271682","C","D-","B-","B-","B+","D","D-","B-","C","47",
"《美好的每一天：不连续存在》","https://bangumi.tv/blog/270142","B+","S-","A-","B+","A","A+","D","C+","A+","92",
"《迷途羊的果树园》","https://bangumi.tv/blog/274776","C+","C+","B-","B+","B+","E","D-","E+","D","62",
"《凭夜之村》","https://bangumi.tv/blog/275473","B-","C","B","A","B","B","D-","B+","B+","63",
"《美少女万华镜：献给曾是少女的你》","https://bangumi.tv/blog/270230","B-","E+","C+","A+","A-","B+","E","B+","D+","49",
"《魔法熟女》","https://bangumi.tv/blog/294607","B","E+","C-","B","C-","C","E+","A+","A-","41",
"《大逆转裁判2》","https://bangumi.tv/blog/292708","B+","A+","A","A","A","B","A","E","D-","101",
"《超时空G点2》","https://bangumi.tv/blog/274192","E+","C+","C","D","D","E","C+","D+","D","53",
"《黑之断章》","https://bangumi.tv/blog/273406","E+","B","B-","D+","E","E","C-","C-","B-","56",
"《银色》","https://bangumi.tv/blog/275711","D","B+","C+","C","A","B-","D-","D-","B-","67",
"《兄妹秘哀》","https://bangumi.tv/blog/270211","D","D-","B-","A-","D+","C+","D-","B-","B","44",
"《月姬plus+disc》","https://bangumi.tv/blog/271691","D","C-","C+","D","B","E","E","E+","D-","44",
"《妻管员2》","https://bangumi.tv/blog/271910","A-","C+","B+","B+","A-","A-","A-","A+","C+","82",
"《青鸟》","https://bangumi.tv/blog/295016","S-","B","A","A+","B+","A+","E+","C-","D+","80",
"《她和我与恋人》","https://bangumi.tv/blog/275662","B+","C","A-","A-","B","A-","D","A-","C-","68",
"《媚肉之香》","https://bangumi.tv/blog/269531","A","A-","A+","A+","A-","A+","D+","S-","S-","88",
"《教育实习》","https://bangumi.tv/blog/275410","E+","E+","C-","D+","D+","C","C-","C+","C","36",
"《乐园：一如既往的我。的存在》","https://bangumi.tv/blog/280171","C","A-","A+","B-","B+","S-","D","D","C-","80",
"《遗作》","https://bangumi.tv/blog/279822","C-","B","B","B-","B-","B+","A-","C","B-","78",
"《家族计划：再开》","https://bangumi.tv/blog/273722","C+","B+","B+","B-","A","B","D-","D","D+","74",
